"","Row","Column","Block","Population","Family","Replicate","Alive_DC1","Comment","Date_oldest_inflor_flower","Date_youngest_inflor_flower","Date_first_follicle_2in","Pod1_collected_20200927","Remaining_pods_collected","Pods","Peduncles","Flower_count_I1","Hood_L.I1F1","Hood_W.I1F1","Corolla_L.I1F1","Corolla_W.I1F1","Flower_L.I1F1","Flower_W.I1F1","Poll_rem.I1F1","Hood_L.I1F2","Hood_W.I1F2","Corolla_L.I1F2","Corolla_W.I1F2","Flower_L.I1F2","Flower_W.I1F2","Poll_rem.I1F2","Hood_L.I1F3","Hood_W.I1F3","Corolla_L.I1F3","Corolla_W.I1F3","Flower_L.I1F3","Flower_W.I1F3","Poll_rem.I1F3","Flower_count_I2","Hood_L.I2F1","Hood_W.I2F1","Corolla_L.I2F1","Corolla_W.I2F1","Flower_L.I2F1","Flower_W.I2F1","Poll_rem.I2F1","Hood_L.I2F2","Hood_W.I2F2","Corolla_L.I2F2","Corolla_W.I2F2","Flower_L.I2F2","Flower_W.I2F2","Poll_rem.I2F2","Hood_L.I2F3","Hood_W.I2F3","Corolla_L.I2F3","Corolla_W.I2F3","Flower_L.I2F3","Flower_W.I2F3","Poll_rem.I2F3","Flower_count_I3","Hood_L.I3F1","Hood_W.I3F1","Corolla_L.I3F1","Corolla_W.I3F1","Flower_L.I3F1","Flower_W.I3F1","Poll_rem.I3F1","Hood_L.I3F2","Hood_W.I3F2","Corolla_L.I3F2","Corolla_W.I3F2","Flower_L.I3F2","Flower_W.I3F2","Poll_rem.I3F2","Hood_L.I3F3","Hood_W.I3F3","Corolla_L.I3F3","Corolla_W.I3F3","Flower_L.I3F3","Flower_W.I3F3","Poll_rem.I3F3","Flowered2020","Hood.I1F1","Hood.I1F2","Hood.I1F3","Hood.I2F1","Hood.I2F2","Hood.I2F3","Hood.I3F1","Hood.I3F2","Hood.I3F3","Hood.I1","Hood.I2","Hood.I3","Hood_mean","Corolla.I1F1","Corolla.I1F2","Corolla.I1F3","Corolla.I2F1","Corolla.I2F2","Corolla.I2F3","Corolla.I3F1","Corolla.I3F2","Corolla.I3F3","Corolla.I1","Corolla.I2","Corolla.I3","Corolla_mean","Flower.I1F1","Flower.I1F2","Flower.I1F3","Flower.I2F1","Flower.I2F2","Flower.I2F3","Flower.I3F1","Flower.I3F2","Flower.I3F3","Flower.I1","Flower.I2","Flower.I3","Flower_mean","Overall_mean","mean_flower_count"
"11",7,37,"2","1","1","1",1,NA,"7/14/2020","7/31/2020","8/11/2020","9/27/2020","9/30/2020",7,3,29,2.78,1.56,7.46,3.89,8.08,7.85,3,2.49,1.58,6.87,3.76,7.75,7.99,3,2.88,1.76,6.86,3.61,7.62,7.1,0,33,3.06,1.93,7.87,3.31,7.92,8.03,4,2.62,1.75,6.67,3.58,8.25,7.97,2,2.54,1.77,7.43,3.46,7.95,6.9,1,7,2.62,1.9,7.79,3.84,7.69,7.87,1,2.81,1.96,7.62,3.59,7.18,7.2,0,2.66,2.07,7.22,3.52,6.97,7.07,0,"1",4.3368,3.9342,5.0688,5.9058,4.585,4.4958,4.978,5.5076,5.5062,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,29.0194,25.8312,24.7646,26.0497,23.8786,25.7078,29.9136,27.3558,25.4144,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,63.428,61.9225,54.102,63.5976,65.7525,54.855,60.5203,51.696,49.2779,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,23
"12",7,38,"2","64","3","4",1,NA,"7/31/2020","8/5/2020","8/21/2020","9/30/2020",NA,1,2,12,3.57,2.55,9.65,4.38,9.3,9.36,3,3.32,2.58,9.15,4.53,10.17,9.92,0,3.86,2.48,10.53,4.45,9.71,9.52,0,16,3.44,2.29,8.75,4.95,9.04,9.16,2,2.9,2.12,8.22,4.15,8.85,8.34,1,2.87,2.09,7.52,4.81,6.98,7.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",9.1035,8.5656,9.5728,7.8776,6.148,5.9983,NA,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,42.267,41.4495,46.8585,43.3125,34.113,36.1712,NA,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,87.048,100.8864,92.4392,82.8064,73.809,54.9326,NA,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,14
"13",8,33,"2","21","1","2",1,NA,"7/24/2020","7/28/2020","8/21/2020","9/27/2020",NA,1,2,45,2.62,2.46,7.68,4.03,7.73,7.7,0,2.69,2.53,7.93,4.11,7.53,8.28,1,2.44,2.48,7.72,3.89,7.76,7.39,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.4452,6.8057,6.0512,NA,NA,NA,NA,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,30.9504,32.5923,30.0308,NA,NA,NA,NA,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,59.521,62.3484,57.3464,NA,NA,NA,NA,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,39
"14",8,34,"2","77","4","3",1,NA,"7/13/2020","7/28/2020","8/18/2020","9/27/2020","9/30/2020",3,3,11,2.13,2.71,3.72,7.81,8.38,8,0,2.13,3.04,3.96,6.31,8.35,8.04,0,2.18,2.73,3.84,8.72,7.62,7.23,0,12,1.92,3.77,4.2,7.55,8.18,8.47,1,2.15,3.88,3.88,7.93,7.19,7.51,0,2.06,3.48,4.15,8.5,4.02,4.34,0,21,2.47,2.11,8.28,8.43,7.55,7.19,0,2.67,2.33,7.92,4.43,7.49,7.51,1,2.65,2.34,7.71,4.42,7.03,7.15,0,"1",5.7723,6.4752,5.9514,7.2384,8.342,7.1688,5.2117,6.2211,6.201,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,29.0532,24.9876,33.4848,31.71,30.7684,35.275,69.8004,35.0856,34.0782,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,67.04,67.134,55.0926,69.2846,53.9969,17.4468,54.2845,56.2499,50.2645,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,14.6666666666667
"15",9,19,"1","72","3","1",1,NA,"8/21/2020","8/25/2020",NA,NA,NA,NA,2,33,3.11,2.56,7.65,4.36,8.74,9.19,3,3.33,2.58,8.17,4.45,9.63,9.34,2,3.31,2.5,8.06,4.12,9.43,9.47,3,1,3.17,2.14,6.4,3.93,8.96,8.99,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.9616,8.5914,8.275,6.7838,NA,NA,NA,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,33.354,36.3565,33.2072,25.152,NA,NA,NA,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,80.3206,89.9442,89.3021,80.5504,NA,NA,NA,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,17
"16",10,5,"1","1","5","2",1,"second inflor formed but tiny flowers aren't growing. seems aborted. no follicles this year","7/28/2020","7/28/2020",NA,NA,NA,NA,2,15,2.61,2.1,6.48,4,6.65,6.94,0,2.05,1.93,6.19,3.53,6.39,6.17,0,2.36,1.97,6.83,3.5,6.96,7.08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.481,3.9565,4.6492,NA,NA,NA,NA,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,25.92,21.8507,23.905,NA,NA,NA,NA,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,46.151,39.4263,49.2768,NA,NA,NA,NA,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,15
"17",10,28,"2","61","4","1",1,NA,"7/31/2020","7/31/2020","8/21/2020","9/30/2020","10/3/2020",3,2,47,3.33,2.05,8.56,4.76,8.52,8.03,0,3.68,2.08,9.66,4.71,9.69,9.29,2,3.36,2.01,9.88,3.87,8.89,9.14,0,52,3.86,2.26,11.09,4.09,10.02,9.71,3,3.61,2.22,9.94,4.16,9.66,9.84,3,3.61,2.27,10.77,4.29,9.61,9.89,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",6.8265,7.6544,6.7536,8.7236,8.0142,8.1947,NA,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,40.7456,45.4986,38.2356,45.3581,41.3504,46.2033,NA,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,68.4156,90.0201,81.2546,97.2942,95.0544,95.0429,NA,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,49.5
"18",10,37,"2","57","1","1",1,"accidentally pulled off inflor 1 so no follicles from that one... also on 9/19 there were only 2 premature follicles left and they both aborted. no follicles this year.","8/18/2020","8/25/2020",NA,NA,NA,NA,4,10,3.68,2.06,7.68,4.74,9,9.2,0,2.82,2.05,8.02,4.72,7.86,8.12,0,3.24,1.96,7.75,4.25,8.4,8.38,0,2,3.29,2.25,7.7,4.73,8.94,9.22,0,3.85,2.23,8.84,4.9,9.98,10.16,1,NA,NA,NA,NA,NA,NA,NA,19,3.58,2.26,8.44,4.32,9.65,9.72,0,3.58,2.21,8.57,3.77,9.4,9.41,1,4.13,2.42,9.02,4.73,10.42,9.4,1,"1",7.5808,5.781,6.3504,7.4025,8.5855,NA,8.0908,7.9118,9.9946,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,36.4032,37.8544,32.9375,36.421,43.316,NA,36.4608,32.3089,42.6646,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,82.8,63.8232,70.392,82.4268,101.3968,NA,93.798,88.454,97.948,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,10.3333333333333
"19",11,46,"4","31","1","5",1,NA,"7/24/2020","7/28/2020","8/14/2020","9/27/2020","9/30/2020",11,4,16,4.15,1.89,9.71,4.09,10.22,10.22,2,3.65,2.08,9.13,4.93,9.59,9.48,0,2.46,1.97,9.59,4.16,7.53,7.6,0,20,3.47,1.77,8.8,4.45,7.85,7.91,1,3.93,2.11,8.47,4.46,9.6,9.41,2,3.67,1.82,9.27,4.2,8.6,8.64,2,62,3.63,2.2,8.52,3.96,10.01,9.77,3,3.53,1.97,8.17,3.83,9.33,9.11,0,3.02,2.09,8.12,4.53,8.3,8.22,0,"1",7.8435,7.592,4.8462,6.1419,8.2923,6.6794,7.986,6.9541,6.3118,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,39.7139,45.0109,39.8944,39.16,37.7762,38.934,33.7392,31.2911,36.7836,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,104.4484,90.9132,57.228,62.0935,90.336,74.304,97.7977,84.9963,68.226,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,32.6666666666667
"20",12,4,"3","61","1","3",1,"Only 2 flowers on entire plant.","7/13/2020","7/13/2020",NA,NA,NA,NA,1,2,2.12,3.45,4.23,7.21,9.02,9.01,0,2.1,2.75,4.58,6.93,7.94,8.66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",7.314,5.775,NA,NA,NA,NA,NA,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,30.4983,31.7394,NA,NA,NA,NA,NA,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,81.2702,68.7604,NA,NA,NA,NA,NA,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,2
"21",13,29,"4","12","1","2",1,NA,"8/8/2020","8/18/2020","9/1/2020","9/30/2020",NA,1,2,32,2.42,2.24,6.54,4.2,7.06,7.38,0,2.33,2.13,6.56,4.07,7.3,7.06,2,2.44,2.1,7.31,3.82,6.95,7.2,4,20,2.2,1.86,5.72,3.87,7.36,7.27,2,2.33,2.12,6.78,3.63,7,6.96,2,2.21,1.94,6.18,3.47,6.98,6.99,1,1,2.32,1.89,8.02,3.86,7.21,6.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",5.4208,4.9629,5.124,4.092,4.9396,4.2874,4.3848,NA,NA,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,27.468,26.6992,27.9242,22.1364,24.6114,21.4446,30.9572,NA,NA,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,52.1028,51.538,50.04,53.5072,48.72,48.7902,48.3791,NA,NA,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,17.6666666666667
"22",18,4,"3","64","5","4",1,NA,"7/21/2020","7/28/2020","8/18/2020","9/27/2020","9/30/2020",5,3,35,3.13,2.3,8.72,4.05,8.81,8.72,0,3.42,2.02,8.03,4.14,8.5,7.75,0,2.73,1.84,7.94,4.41,7.93,8.23,0,31,3.16,1.98,8.6,4.3,8.53,8.53,0,2.8,2.12,7.87,3.99,8.01,8,0,2.35,1.95,7.17,4.06,7.25,7.28,0,24,3.5,2.39,7.86,4.24,9.05,9.22,2,3.96,2.17,7.99,4.13,9.05,8.81,1,3.15,2.2,7.35,3.52,8.63,8.89,0,"1",7.199,6.9084,5.0232,6.2568,5.936,4.5825,8.365,8.5932,6.93,6.80046818181818,6.81827358490566,6.96638064516129,6.86170747062838,35.316,33.2442,35.0154,36.98,31.4013,29.1102,33.3264,32.9987,25.872,33.0433848484848,32.3937,33.8254451612903,33.0875100032584,76.8232,65.875,65.2639,72.7609,64.08,52.78,83.441,79.7305,76.7207,72.8853757575758,71.1343905660377,75.1402516129032,73.0533393121722,37.6675189286863,30
